,                      :суб'єкт-висування ,                   :фіо , :номер-у-списку , :округ , :фракція , :на-два-кластери-за-голосуваннями , :на-три-кластерів-за-голосуваннями , :на-п'ять-кластерів-за-голосуваннями , :на-дев'ять-кластерів-за-голосуваннями ,
,                    Блок Петра Порошенка ,            Чекіта Г.Л. ,             134 ,    134 ,      БПП ,                                 0 ,                                  2 ,                                    2 ,                                      2 ,
,                    Блок Петра Порошенка ,           Голубов Д.І. ,             136 ,    136 ,      БПП ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                          Сильна Україна ,        Урбанський О.І. ,             143 ,    143 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                    Блок Петра Порошенка ,            Каплін С.М. ,             144 ,    144 ,      БПП ,                                 1 ,                                  2 ,                                    1 ,                                      8 ,
,                    Блок Петра Порошенка ,           Іщейкін К.Є. ,             148 ,    148 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,         Дехтярчук О.В. ,             154 ,    154 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,          Яніцький В.П. ,             155 ,    155 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,          Сугоняко О.Л. ,             158 ,    158 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      8 ,
,                    Блок Петра Порошенка ,            Лаврик М.І. ,             161 ,    161 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,              Юрик Т.З. ,             165 ,    165 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,            Люшняк М.В. ,             166 ,    166 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,             Барна О.С. ,             167 ,    167 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,     Співаковський О.В. ,             182 ,    182 ,      БПП ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                    Блок Петра Порошенка ,            Вінник І.Ю. ,             184 ,    184 ,      БПП ,                                 1 ,                                  1 ,                                    1 ,                                      8 ,
