,                      :суб'єкт-висування ,                   :фіо , :номер-у-списку , :округ , :фракція , :на-два-кластери-за-голосуваннями , :на-три-кластерів-за-голосуваннями , :на-п'ять-кластерів-за-голосуваннями , :на-дев'ять-кластерів-за-голосуваннями ,
,                          Народний фронт ,           Романюк В.М. ,              94 ,     94 ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний фронт ,          Гаврилюк М.В. ,              95 ,     95 ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,            Бондар М.Л. ,             119 ,    119 ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,              Река А.О. ,             149 ,    149 ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,            Вознюк Ю.В. ,             153 ,    153 ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,          Медуниця О.В. ,             157 ,    157 ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,              Кірш О.В. ,             169 ,    169 ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,           Федорук М.Т. ,             201 ,    201 ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,            Бурбак М.Ю. ,             204 ,    204 ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,            Кодола О.М. ,             209 ,    209 ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,            Сташук В.Ф. ,             212 ,    212 ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,             Ємець Л.О. ,             221 ,    221 ,       НФ ,                                 1 ,                                  1 ,                                    1 ,                                      7 ,
,                          Народний Фронт ,          Чорновол Т.М. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,           Тетерук А.А. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,             Сюмар В.П. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    1 ,                                      3 ,
,                          Народний Фронт ,            Береза Ю.М. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,        Пашинський С.В. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    1 ,                                      3 ,
,                          Народний Фронт ,            Тимчук Д.Б. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      7 ,
,                          Народний Фронт ,          Денісова Л.Л. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,           Іванчук А.В. ,                 ,        ,       НФ ,                                 1 ,                                  2 ,                                    1 ,                                      7 ,
,                          Народний Фронт ,           Васюник І.В. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,         Лук'янчук Р.В. ,                 ,        ,       НФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                          Народний Фронт ,          Лунченко В.В. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    1 ,                                      7 ,
,                          Народний Фронт ,            Донець Т.А. ,                 ,        ,       НФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                          Народний Фронт ,         Геращенко А.Ю. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    1 ,                                      8 ,
,                          Народний Фронт ,            Савчук Ю.П. ,                 ,        ,       НФ ,                                 1 ,                                  2 ,                                    1 ,                                      3 ,
,                          Народний Фронт ,             Левус А.М. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,      Дзензерський Д.В. ,                 ,        ,       НФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                          Народний Фронт ,         Шкварилюк В.В. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,        Матейченко К.В. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    1 ,                                      8 ,
,                          Народний Фронт ,        Ледовських О.В. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,         Колганова О.В. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    1 ,                                      3 ,
,                          Народний Фронт ,          Фаєрмарк С.О. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,          Сидорчук В.В. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,         Заставний Р.Й. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      7 ,
,                          Народний Фронт ,            Дейдей Є.С. ,                 ,        ,       НФ ,                                 0 ,                                  2 ,                                    2 ,                                      2 ,
,                          Народний Фронт ,        Княжицький М.Л. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,           Бабенко В.Б. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,           Ксенжук О.С. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,       Логвинський Г.В. ,                 ,        ,       НФ ,                                 1 ,                                  2 ,                                    1 ,                                      7 ,
,                          Народний Фронт ,         Єленський В.Є. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,           Поляков М.А. ,                 ,        ,       НФ ,                                 1 ,                                  2 ,                                    1 ,                                      2 ,
,                          Народний Фронт ,        Величкович М.Р. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,          Горбунов О.В. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,             Хміль М.М. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,           Унгурян П.Я. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    1 ,                                      8 ,
,                          Народний Фронт ,         Висоцький С.В. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,      Войцеховська С.М. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      7 ,
,                          Народний Фронт ,          Бриченко І.В. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,        Котвіцький І.О. ,                 ,        ,       НФ ,                                 1 ,                                  2 ,                                    1 ,                                      2 ,
,                          Народний Фронт ,          Пинзеник П.В. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,             Сочка О.О. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,          Кадикало М.О. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,          Масоріна О.С. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,         Присяжнюк О.А. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    1 ,                                      7 ,
,                          Народний Фронт ,  Кацер-Бучковська Н.В. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      7 ,
,                          Народний Фронт ,             Соляр В.М. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,           Кремінь Т.Д. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,          Кривенко В.В. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,          Єфремова І.О. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,          Алексєєв І.С. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,             Бойко О.П. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,            Корчик В.А. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,         Помазанов А.В. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний Фронт ,          Кривошея Г.Г. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний фронт ,          Стеценко Д.О. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний фронт ,             Драюк С.Є. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний фронт ,      Романовський О.В. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний фронт ,           Дроздик О.В. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний фронт ,             Бабій Ю.Ю. ,                 ,        ,       НФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                          Народний фронт ,       Підберезняк В.І. ,                 ,        ,       НФ ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                          Народний фронт ,            Єдаков Я.Ю. ,                 ,        ,       НФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                          Народний фронт ,       Мепарішвілі Х.Н. ,                 ,        ,       НФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                          Народний фронт ,           Данілін В.Ю. ,                 ,        ,       НФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                          Народний фронт ,        Бендюженко Ф.В. ,                 ,        ,       НФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,            Павлов К.Ю. ,              31 ,     31 ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                           Самовисування ,         Гальченко А.В. ,              32 ,     32 ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                           Самовисування ,      Мартовицький А.В. ,              36 ,     36 ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                           Самовисування ,            Шпенов Д.Ю. ,              37 ,     37 ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                           Самовисування ,      Звягільський Ю.Л. ,              45 ,     45 ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        Опозиційний блок ,             Солод Ю.В. ,              47 ,     47 ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,       Омельянович Д.С. ,              49 ,     49 ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,        Матвієнков С.А. ,              57 ,     57 ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                           Самовисування ,             Сажко С.М. ,              59 ,     59 ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                           Самовисування ,         Балицький Є.В. ,              80 ,     80 ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        Опозиційний блок ,           Бакулін Є.М. ,             106 ,    106 ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,            Дунаєв С.В. ,             107 ,    107 ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                           Самовисування ,             Іоффе Ю.Я. ,             112 ,    112 ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,           Ківалов С.В. ,             135 ,    135 ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,            Шенцев Д.О. ,             176 ,    176 ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,            Добкін Д.М. ,             178 ,    178 ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        Опозиційний блок ,             Бойко Ю.А. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        Опозиційний блок ,            Вілкул О.Ю. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        Опозиційний блок ,            Добкін М.М. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        Опозиційний блок ,         Рабінович В.З. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        Опозиційний блок ,             Білий О.П. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                        Опозиційний блок ,             Ларін С.М. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        Опозиційний блок ,            Шуфрич Н.І. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        Опозиційний блок ,       Королевська Н.Ю. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        Опозиційний блок ,          Бахтеєва Т.Д. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        Опозиційний блок ,            Скорик М.Л. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        Опозиційний блок ,        Новинський В.В. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        Опозиційний блок ,         Льовочкін С.В. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        Опозиційний блок ,          Воропаєв Ю.М. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                        Опозиційний блок ,             Козак Т.Р. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                        Опозиційний блок ,             Гусак В.Г. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                        Опозиційний блок ,        Льовочкіна Ю.В. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        Опозиційний блок ,          Кісельов А.М. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                        Опозиційний блок ,            Мирний І.М. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                        Опозиційний блок ,            Мороко Ю.М. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                        Опозиційний блок ,      Мірошниченко Ю.Р. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                        Опозиційний блок ,        Колєсніков Д.В. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                        Опозиційний блок ,            Папієв М.М. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                        Опозиційний блок ,         Долженков О.В. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                        Опозиційний блок ,          Павленко Ю.О. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                        Опозиційний блок ,          Німченко В.І. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                        Опозиційний блок ,            Нечаєв О.І. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                        Опозиційний блок ,             Шурма І.М. ,                 ,        ,       ОБ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                  Об'єднання «Самопоміч» ,           Подоляк І.І. ,             116 ,    116 ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                           Самовисування ,            Пастух Т.Т. ,             163 ,    163 ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,        Семенченко С.І. ,                 ,        ,      ОСП ,                                 0 ,                                  2 ,                                    2 ,                                      2 ,
,                  Об'єднання «Самопоміч» ,          Скрипник О.О. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,             Бабак А.В. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,          Данченко О.І. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,            Сотник О.С. ,                 ,        ,      ОСП ,                                 0 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,            Лаврик О.В. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,           Соболєв Є.В. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,          Маркевич Я.В. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,      Мірошніченко І.В. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,            Журжій А.В. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,           Діденко І.А. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,         Острікова Т.Г. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,        Опанасенко О.В. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,         Сидорович Р.М. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,         Войціцька В.М. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,          Сисоєнко І.В. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,      Підлісецький Л.Т. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,          Семенуха Р.С. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,           Березюк О.Р. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,          Костенко П.П. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,          Романова А.А. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,            Кіраль С.І. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                  Об'єднання «Самопоміч» ,             Зубач Л.Л. ,                 ,        ,      ОСП ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                           Самовисування ,             Шипко А.Ф. ,              35 ,     35 ,       ПВ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,            Гєллєр Є.Б. ,              50 ,     50 ,       ПВ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,             Шкіря І.М. ,              52 ,     52 ,       ПВ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,     Развадовський В.Й. ,              67 ,     67 ,       ПВ ,                                 1 ,                                  2 ,                                    2 ,                                      2 ,
,                           Самовисування ,             Ланьо М.І. ,              70 ,     70 ,       ПВ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,          Березкін С.С. ,             100 ,    100 ,       ПВ ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                           Самовисування ,             Ільюк А.О. ,             128 ,    128 ,       ПВ ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                           Самовисування ,            Клімов Л.М. ,             137 ,    137 ,       ПВ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,           Пресман О.С. ,             139 ,    139 ,       ПВ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,            Гуляєв В.О. ,             140 ,    140 ,       ПВ ,                                 0 ,                                  2 ,                                    2 ,                                      2 ,
,                           Самовисування ,        Барвіненко В.Д. ,             141 ,    141 ,       ПВ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,             Кіссе А.І. ,             142 ,    142 ,       ПВ ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                           Самовисування ,         Шаповалов Ю.А. ,             146 ,    146 ,       ПВ ,                                 1 ,                                  2 ,                                    2 ,                                      3 ,
,                           Самовисування ,           Кулініч О.І. ,             147 ,    147 ,       ПВ ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                           Самовисування ,         Писаренко В.В. ,             168 ,    168 ,       ПВ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,            Святаш Д.В. ,             170 ,    170 ,       ПВ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,        Хомутиннік В.Ю. ,             171 ,    171 ,       ПВ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,             Мисик В.Ю. ,             172 ,    172 ,       ПВ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,            Кацуба В.М. ,             175 ,    175 ,       ПВ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,          Остапчук В.М. ,             177 ,    177 ,       ПВ ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                           Самовисування ,           Біловол О.М. ,             180 ,    180 ,       ПВ ,                                 0 ,                                  0 ,                                    2 ,                                      0 ,
,                           Самовисування ,            Бондар В.В. ,             191 ,    191 ,       ПВ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,             Зубик В.В. ,             195 ,    195 ,       ПВ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,             Бобов Г.Б. ,             196 ,    196 ,       ПВ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,       Ничипоренко В.М. ,             199 ,    199 ,       ПВ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,            Яценко А.В. ,             200 ,    200 ,       ПВ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
, Українське об'єднання патріотів — УКРОП ,      Констанкевич І.М. ,              23 ,     23 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,            Безбах Я.Я. ,              24 ,     24 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      1 ,
,                    Блок Петра Порошенка ,         Денисенко А.С. ,              26 ,     26 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                    Блок Петра Порошенка ,            Купрій В.М. ,              29 ,     29 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                    Блок Петра Порошенка ,           Дубінін О.І. ,              30 ,     30 ,       ПФ ,                                 0 ,                                  2 ,                                    2 ,                                      2 ,
,                           Правий сектор ,              Ярош Д.А. ,              39 ,     39 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                    Блок Петра Порошенка ,             Дідич В.В. ,              40 ,     40 ,       ПФ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                           Самовисування ,             Клюєв С.П. ,              46 ,     46 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,            Тарута С.О. ,              58 ,     58 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                    Блок Петра Порошенка ,         Розенблат Б.С. ,              62 ,     62 ,       ПФ ,                                 1 ,                                  1 ,                                    3 ,                                      5 ,
,                           Самовисування ,            Литвин В.М. ,              65 ,     65 ,       ПФ ,                                 0 ,                                  0 ,                                    2 ,                                      2 ,
,                           Самовисування ,            Балога В.І. ,              69 ,     69 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,            Балога П.І. ,              71 ,     71 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                           Самовисування ,            Балога І.І. ,              73 ,     73 ,       ПФ ,                                 0 ,                                  2 ,                                    2 ,                                      2 ,
,                    Блок Петра Порошенка ,          Шевченко О.Л. ,              83 ,     83 ,       ПФ ,                                 1 ,                                  2 ,                                    1 ,                                      7 ,
, Українське об'єднання патріотів — УКРОП ,          Шевченко В.Л. ,              85 ,     85 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                                    Воля ,        Дерев'янко Ю.Б. ,              87 ,     87 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                            ВО «Свобода» ,          Марченко О.О. ,              90 ,     90 ,       ПФ ,                                 0 ,                                  2 ,                                    4 ,                                      6 ,
,                           Самовисування ,           Міщенко С.Г. ,              98 ,     98 ,       ПФ ,                                 0 ,                                  2 ,                                    2 ,                                      2 ,
,                           Самовисування ,        Добродомов Д.Є. ,             115 ,    115 ,       ПФ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                           Самовисування ,       Матківський Б.М. ,             121 ,    121 ,       ПФ ,                                 1 ,                                  2 ,                                    4 ,                                      8 ,
,                           Самовисування ,           Парасюк В.З. ,             122 ,    122 ,       ПФ ,                                 0 ,                                  2 ,                                    4 ,                                      6 ,
,                    Блок Петра Порошенка ,           Батенко Т.І. ,             123 ,    123 ,       ПФ ,                                 1 ,                                  2 ,                                    1 ,                                      7 ,
,                           Самовисування ,             Мусій О.С. ,             124 ,    124 ,       ПФ ,                                 1 ,                                  2 ,                                    4 ,                                      6 ,
,                           Самовисування ,         Матвійчук Е.Л. ,             133 ,    133 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                            ВО «Свобода» ,            Бублик Ю.В. ,             145 ,    145 ,       ПФ ,                                 0 ,                                  2 ,                                    4 ,                                      6 ,
,                           Самовисування ,            Жеваго К.В. ,             150 ,    150 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                            ВО «Свобода» ,       Осуховський О.І. ,             152 ,    152 ,       ПФ ,                                 0 ,                                  2 ,                                    4 ,                                      6 ,
,                           Самовисування ,            Деркач А.Л. ,             159 ,    159 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
,                            ВО «Свобода» ,           Головко М.Й. ,             164 ,    164 ,       ПФ ,                                 0 ,                                  2 ,                                    4 ,                                      6 ,
,                           Самовисування ,         Денисенко А.П. ,             173 ,    173 ,       ПФ ,                                 0 ,                                  0 ,                                    0 ,                                      0 ,
